"﻿""id. Response ID""",Year Submitted Survey 2, Months Owned (total),oldcarmain,Electric driving range,oldcartype,Discontinuance (inc. purchased lease) 2,Age,Gender,dist1  [Route 1],How many road trips longer than 200 miles round-trip did you or your household complete with each car in the last 12 months (or the time you own the car if less than that)?  [{oldcarmain.NAOK}],{oldcarmain.NAOK} [Safety],Comfort,Refuelling/Recharging costs,Performance,Environmental impacts,"Vehicle Purchase Price (including rebates, discounts, etc.)",Reliability,Electric driving range,Convenience of charging,Driving assistance features,My household's pre-taxed income for the past tax year was in the following range,"Home Charging (L1, L2, None)","Work charging (L1, L2, DC, none)",Concatenate[[s]...s] Public DCFC] 2,MPG second vehicle in HH 2,"Lease (1 lease, 0 other)",lastpage. Last page
85,2019,79,2017 Toyota Prius Prime,25,PHEV,Original,80,Male,,2,5,5,5,4,5,5,5,4,5,5,"$50,000 to $99,999",Level 1,No charging,No charging,24,0,40
87,2019,51,2015 Kia Soul EV,111,BEV,Continued,45,Male,48.33,0,5,5,5,4,4,5,3,2,2,2,"$200,000 to $249,999",Level 1,Level 2,No charging,114,1,40
88,2019,14,2014 BMW i3,81,BEV,Discontinued,55,Male,,0,,,,,,,,,,,,Level 1,,,38,1,17
89,2019,26,2017 Chevrolet Bolt EV,238,BEV,Original,55,Male,39.87,5,5,4,5,5,5,5,5,5,5,4,"$150,000 to $199,999",Level 1,Level 1,No charging,27,1,40
90,2019,23,2018 Ford Fusion Energi Plug-in Hybrid,20,PHEV,Original,,,,0,,,,,,,,,,,,Level 1,No charging,No charging,116,0,1
91,2019,37,2016 BMW i3,81,PHEV,Original,45,Male,17.91,0,5,5,5,5,5,4,5,4,5,5,"$400,000 to $449,999",Level 2,Level 1,No charging,24,0,40
92,2019,36,2016 FIAT 500e,87,BEV,Discontinued,65,Male,,0,,,,,,,,,,,,Level 1,No charging,No charging,17,1,16
93,2019,26,2017 Chevrolet Bolt EV,238,BEV,Original,,Decline to state,23.62,1,5,4,5,5,5,5,5,5,5,3,I prefer not to answer,Level 1,Level 2,Level 2,28,0,40
94,2019,106,2011 Chevrolet Volt,53,PHEV,Original,55,Male,10.74,0,5,4,5,5,5,4,5,4,5,5,"$100,000 to $149,999",Level 2,Level 1,,,0,40
95,2019,35,2016 Tesla Model S,271,BEV,Discontinued,75,Male,1.75,0,5,5,5,5,5,4,5,5,5,5,I prefer not to answer,Level 2,Level 2,No charging,24,1,40
96,2019,28,2017 Toyota Prius Prime,25,PHEV,Original,65,Male,62.05,2,5,5,5,5,5,5,5,5,5,5,"$100,000 to $149,999",Level 1,Level 1,No charging,14,0,40
97,2019,43,2016 Tesla Model S,271,BEV,Original,75,Male,42.24,7,5,5,5,5,5,4,5,5,4,5,"$400,000 to $449,999",Level 2,No charging,No charging,15,0,40
98,2019,53,2015 Tesla Model S,271,BEV,Original,45,Male,32.83,0,5,5,5,5,5,4,5,5,5,4,I prefer not to answer,Level 2,Level 2,DC Fast,24,0,40
99,2019,48,2015 Nissan Leaf,84,BEV,Continued,65,Female,5.53,0,5,5,5,5,5,5,5,2,2,4,"$50,000 to $99,999",Level 2,No charging,No charging,24,1,40
100,2019,33,2012 Nissan Leaf,84,BEV,Continued,65,Male,,0,,,,,,,,,,,,Level 2,,Level 2,24,1,16
101,2019,47,2016 Chevrolet Volt,53,PHEV,Original,35,Female,6.42,4,5,4,5,5,5,5,5,4,4,3,,Level 2,No charging,No charging,27,0,33
102,2019,22,2018 Chevrolet Volt,53,PHEV,Original,65,Male,,2,3,3,5,2,5,4,5,2,2,2,"$100,000 to $149,999",Level 2,No charging,No charging,14,1,40
103,2019,27,2016 Chevrolet Volt,53,PHEV,Continued,55,Male,13.6,0,5,5,5,5,5,4,5,5,5,5,"$500,000 or more",Level 1,No charging,No charging,24,0,40
104,2019,34,2014 Fiat 500e,87,BEV,Continued,55,Male,5.91,0,4,4,5,5,5,4,3,3,5,3,"$400,000 to $449,999",Level 2,,,28,1,40
105,2019,22,2018 Volkswagen e-Golf,84,BEV,Original,45,Male,11.17,0,5,4,5,4,5,5,5,4,5,4,"$200,000 to $249,999",Level 1,Level 1,No charging,14,0,40
106,2019,69,2013 Ford Fusion Energi,20,PHEV,Continued,,Female,39.14,0,5,5,4,4,4,3,3,2,3,2,I prefer not to answer,Level 1,,Level 2,24,0,40
107,2019,25,2017 Chevrolet Bolt EV,238,BEV,Original,45,Male,26.57,0,3,2,5,4,3,2,5,5,2,2,"$150,000 to $199,999",No Charging,Level 2,No charging,17,1,40
108,2019,32,2017 Tesla Model X AWD - 75D,238,BEV,Original,55,Male,65.22,1,5,5,5,5,5,4,3,4,5,5,"$100,000 to $149,999",Level 2,No charging,No charging,46,0,40
109,2019,50,2014 BMW i3,81,PHEV,Continued,55,Male,,0,4,3,5,4,5,2,4,2,5,5,"$100,000 to $149,999",No Charging,,,50,0,40
110,2019,26,2017 Chevrolet Bolt EV,238,BEV,Original,45,Male,25.58,0,5,4,5,5,5,5,5,5,5,2,"$250,000 to $299,999",No Charging,Level 2,No charging,24,1,40
111,2019,24,2016 Tesla Model X,270,BEV,Continued,35,Male,8.65,0,5,5,5,5,5,4,5,5,5,5,"Less than $50,000",Level 2,No charging,No charging,89,0,40
112,2019,33,2016 Volkswagen e-Golf,84,BEV,Continued,45,Male,24.86,0,5,5,5,5,5,4,5,3,4,4,I prefer not to answer,Level 1,Level 2,No charging,23,0,40
113,2019,,2012 Mitsubishi i-MiEV,62,BEV,Discontinued,55,Male,22.08,0,3,4,5,4,5,4,5,1,1,4,"$100,000 to $149,999",No Charging,,,,0,40
114,2019,37,2016 Tesla Model X,270,BEV,Discontinued,45,Male,13.91,0,5,5,5,5,5,4,5,5,5,5,"$150,000 to $199,999",Level 2,Level 2,No charging,24,1,40
115,2019,55,2015 Nissan Leaf,84,BEV,Original,45,Male,4.16,0,3,2,5,5,5,5,5,2,4,2,,Level 2,No charging,No charging,24,0,32
116,2019,26,2017 Chevrolet Bolt EV,238,BEV,Original,65,Male,1.33,0,5,4,5,5,5,5,5,5,4,4,I prefer not to answer,Level 1,No charging,No charging,31,1,40
117,2019,36,2015 Toyota Prius Plug-in,11,PHEV,Continued,65,Male,8.04,0,4,3,2,2,4,4,4,1,4,4,"$100,000 to $149,999",Level 1,No charging,No charging,,0,40
118,2019,75,2014 Toyota Prius Plug-in,11,PHEV,Original,35,Female,2.98,0,5,5,5,5,5,5,5,5,5,5,"Less than $50,000",No Charging,,,,0,40
119,2019,46,2016 Audi A3 Sportback e-tron,16,PHEV,Original,55,Female,,0,5,5,4,5,5,5,5,2,5,3,"$500,000 or more",No Charging,,,89,0,40
120,2019,29,2017 Audi A3 e-tron,16,PHEV,Original,65,Male,26.97,0,5,5,5,5,5,5,5,4,5,5,"$150,000 to $199,999",Level 2,No charging,Level 2,17,0,40
121,2019,30,2015 BMW i3,81,PHEV,Continued,25,Male,4.32,0,5,4,3,4,3,5,5,4,5,3,"$150,000 to $199,999",Level 1,No charging,No charging,24,1,40
122,2019,41,2017 Chevrolet Volt,53,PHEV,Continued,75,Male,,1,5,5,5,5,5,4,5,5,5,5,"$150,000 to $199,999",Level 2,No charging,No charging,24,1,40
123,2019,23,2017 Hyundai Sonata Plug-in Hybrid,28,PHEV,Original,75,Male,3.54,0,5,5,5,5,5,4,5,5,4,5,"$50,000 to $99,999",Level 1,No charging,No charging,29,1,40
124,2019,30,2017 Chevrolet Bolt EV,238,BEV,Original,55,Female,0.84,0,2,2,5,1,5,2,4,3,3,3,"$250,000 to $299,999",Level 1,No charging,No charging,33,1,40
125,2019,,2012 Nissan Leaf,84,BEV,Original,35,Male,9.91,0,5,5,5,5,5,5,5,1,2,5,"$100,000 to $149,999",No Charging,,,,0,40
126,2019,56,2014 Toyota Prius Plug-in,11,PHEV,Continued,35,Male,0.72,0,4,4,4,4,4,3,4,1,4,2,"$250,000 to $299,999",Level 2,No charging,No charging,,0,40
127,2019,25,2017 Tesla Model S (75 kW-hr battery pack),249,BEV,Original,35,Male,17.41,1,5,5,4,5,5,2,5,2,4,5,"$500,000 or more",No Charging,Level 2,No charging,36,0,40
128,2019,36,2014 Chevrolet Spark EV,82,BEV,Continued,35,Male,,0,4,4,5,5,5,4,5,1,4,3,"$50,000 to $99,999",Level 2,,,32,1,40
129,2019,33,2015 Ford C-Max Energi,20,PHEV,Discontinued,,,,0,,,,,,,,,,,,No Charging,,,,1,12
130,2019,39,2016 Volkswagen e-Golf,84,BEV,Continued,18,Male,19.02,0,5,5,5,5,5,5,5,5,5,5,"$250,000 to $299,999",No Charging,Level 2,No charging,32,1,40
131,2019,33,2015 Ford C-Max Energi,20,PHEV,Discontinued,65,Female,0.12,0,5,4,5,5,5,4,5,1,4,3,"$100,000 to $149,999",Level 1,No charging,No charging,,1,40
132,2019,32,2017 Chevrolet Bolt EV,238,BEV,Original,55,Male,243.05,0,5,5,5,5,5,5,5,5,5,5,"$100,000 to $149,999",No Charging,Level 1,No charging,23,0,40
133,2019,23,2017 Toyota Prius Prime,25,PHEV,Original,35,Male,18.06,4,5,5,5,5,5,5,5,2,5,5,"$150,000 to $199,999",Level 1,Level 2,No charging,25,0,40
134,2019,18,2018 Tesla Model X 75D,238,BEV,Original,45,Male,4.91,0,5,5,5,5,5,2,5,4,4,5,"$200,000 to $249,999",No Charging,DC Fast,DC Fast,14,0,40
135,2019,33,2017 Nissan Leaf,84,BEV,Original,45,Male,33.27,0,5,5,5,5,5,3,5,5,5,5,I prefer not to answer,Level 2,No charging,DC Fast,31,1,40
136,2019,38,2016 Hyundai Sonata Plug-in Hybrid,28,PHEV,Continued,65,Male,12.19,0,4,5,5,4,5,5,4,4,4,4,I prefer not to answer,Level 1,Level 2,No charging,25,1,40
137,2019,,2014 Chevrolet Volt,53,PHEV,Original,45,Male,14.61,1,5,3,5,4,5,4,5,4,4,4,"$150,000 to $199,999",No Charging,,,,0,40
138,2019,34,2017 Toyota Prius Prime,25,PHEV,Original,45,Male,47.61,10,5,5,5,5,5,4,5,5,5,5,"$250,000 to $299,999",Level 1,No charging,No charging,28,0,40
139,2019,33,2015 Ford Fusion Energi,20,PHEV,Discontinued,45,Male,5.95,0,4,5,5,1,5,5,4,4,4,2,"$150,000 to $199,999",No Charging,Level 2,No charging,24,1,40
140,2019,21,2018 Kia Soul Electric,111,BEV,Original,65,Male,7.15,0,5,5,5,5,5,4,5,4,5,5,"$150,000 to $199,999",Level 2,No charging,No charging,40,1,40
141,2019,35,2016 Tesla Model X,270,BEV,Original,45,Male,24.77,1,5,5,5,5,5,3,4,5,5,5,"$450,000 to $499,999",No Charging,Level 2,DC Fast,95,0,40
142,2019,19,2018 BMW i3 (94Ah) with Range Extender,114,PHEV,Original,35,Female,6.32,4,5,5,5,5,5,5,4,4,4,5,"$200,000 to $249,999",Level 2,No charging,Level 2,32,1,40
143,2019,36,2016 Volkswagen e-Golf,84,BEV,Continued,45,Male,2.26,0,4,5,4,5,5,3,4,2,3,4,,Level 2,No charging,No charging,44,1,32
144,2019,20,2017 Volkswagen e-Golf,84,BEV,Original,55,Male,4.62,1,5,5,5,5,5,5,5,5,5,4,"$50,000 to $99,999",Level 1,Level 2,DC Fast,,0,40
145,2019,41,2016 Tesla Model X,270,BEV,Original,75,Male,492.22,20,5,5,5,5,5,3,5,4,5,5,I prefer not to answer,Level 2,No charging,DC Fast,24,0,40
146,2019,36,2015 Tesla Model S,271,BEV,Original,75,Male,,0,5,5,5,5,5,4,5,4,5,5,"$100,000 to $149,999",Level 2,No charging,No charging,24,0,40
147,2019,33,2017 Nissan Leaf,84,BEV,Original,45,Male,25.82,0,4,4,5,4,5,5,4,4,4,4,"$150,000 to $199,999",Level 2,Level 2,No charging,24,1,40
148,2019,21,2018 Chevrolet Volt,53,PHEV,Original,35,Male,5.99,0,5,5,5,5,5,5,5,2,1,5,"$350,000 to $399,999",Level 1,Level 2,No charging,23,1,40
149,2019,,2017 Chevrolet Bolt EV,238,BEV,Original,,,,0,,,,,,,,,,,,Level 2,Level 2,Level 2,24,1,1
150,2019,37,2015 Nissan Leaf,84,BEV,Continued,65,Male,,0,5,5,5,5,5,5,5,4,5,5,"$100,000 to $149,999",Level 2,No charging,No charging,50,1,40
151,2019,44,2014 Ford Fusion Energi,20,PHEV,Continued,35,Male,16.63,0,5,5,2,3,3,2,1,2,4,5,"$500,000 or more",Level 2,,Level 2,24,0,40
152,2019,65,2014 Toyota Prius Plug-in,11,PHEV,Original,65,Male,6.41,5,5,5,5,5,5,5,5,2,4,3,"$250,000 to $299,999",Level 1,,,24,0,40
153,2019,23,2017 Chevrolet Bolt EV,238,BEV,Original,55,Male,3.9,5,4,2,5,5,5,2,5,4,4,2,"$250,000 to $299,999",No Charging,Level 2,No charging,18,1,40
154,2019,19,2018 Tesla Model 3 Long Range,310,BEV,Original,45,Male,7.34,5,5,5,5,5,5,4,5,5,5,5,"$300,000 to $349,999",Level 2,No charging,Level 2,26,0,40
155,2019,35,2016 Tesla Model X,270,BEV,Original,55,Male,25.4,3,5,5,5,5,4,3,4,4,3,4,"$300,000 to $349,999",Level 2,No charging,DC Fast,25,0,40
