"﻿""id. Response ID""",Electric driving range,oldcartype,Discontinuance (inc. purchased lease) 2,Age,Gender,Oneway_commute_dist,Long_trip_num,Safety,Refuelling/Recharging costs,Environmental impacts,Reliability,Electric driving range,Convenience of charging,Household_income,"Home Charging (L1, L2, None)","Work charging (L1, L2, DC, none)",Public charging,Second_vehicle,"Lease (1 lease, 0 other)",Survey_completion
1613,300,,Discontinued,55,Male,,0,5,5,5,4,2,2,"$100,000 to $149,999",No Charging,,,,0,40
1626,300,,Original,35,Male,16.92,0,3,2,4,2,2,2,"$200,000 to $249,999",No Charging,,,,0,40
1643,300,,Original,65,Male,8.8,4,5,5,5,5,5,5,"$50,000 to $99,999",No Charging,,,,0,40
1654,300,,Continued,55,Male,28.59,0,5,1,5,5,5,1,"$150,000 to $199,999",No Charging,,,,0,40
1674,89,,Original,65,Male,11.25,0,5,5,5,5,5,1,"$500,000 or more",No Charging,,,,0,40
1696,300,,Original,75,Male,9.97,5,3,1,5,4,3,3,"$200,000 to $249,999",No Charging,,,,0,40
1709,300,,Continued,,,,0,,,,,,,,No Charging,,,,0,10
1712,300,,Original,75,Male,10.95,2,5,5,5,5,5,5,"$100,000 to $149,999",No Charging,,,,0,40
1734,300,,Original,25,Female,,0,,,,,,,,No Charging,,,,0,16
1744,33,,Original,55,Female,1.94,3,3,5,4,4,4,5,"$150,000 to $199,999",No Charging,,,46,0,40
1752,300,,Original,,,,0,,,,,,,,No Charging,,,,0,1
1764,300,,Original,75,Male,14.12,0,2,5,5,2,2,1,"$100,000 to $149,999",No Charging,,,,0,40
1789,300,,Original,55,Female,4.77,2,5,5,5,2,5,1,"$100,000 to $149,999",No Charging,,,,0,40
1797,300,,Original,45,Male,24.11,0,5,2,4,5,1,1,I prefer not to answer,No Charging,,,,0,40
1861,300,,Original,75,Male,,0,,,,,,,,No Charging,,,,0,16
1883,300,,Original,65,Female,3.9,4,5,4,5,5,4,2,"$100,000 to $149,999",No Charging,,,,0,40
1924,300,,Discontinued,35,Male,8.88,0,5,5,5,4,4,4,"$350,000 to $399,999",No Charging,,,,0,40
1926,20,,Original,,,,0,,,,,,,,No Charging,,,,0,1
1956,300,,Original,65,Male,58.67,5,5,5,1,1,2,2,"$200,000 to $249,999",No Charging,,,,0,40
1986,300,,Original,65,Male,5.59,2,4,3,5,4,4,4,"$250,000 to $299,999",No Charging,,,,0,40
1989,89,,Original,55,Female,3.45,3,5,5,5,5,5,5,"$100,000 to $149,999",No Charging,,,,0,40
2001,300,,Original,25,Male,15.53,10,5,5,5,5,4,2,"$50,000 to $99,999",No Charging,,,,0,40
2003,300,,Original,35,Male,23.59,0,4,5,4,4,3,3,"$250,000 to $299,999",No Charging,,,,0,40
2011,300,,Original,65,Male,7,1,2,1,5,5,2,1,"$150,000 to $199,999",No Charging,,,,0,40
2032,25,,Original,65,Male,,4,5,5,5,5,5,5,"$100,000 to $149,999",No Charging,,,24,0,40
2058,300,,Original,80,Male,3.17,1,5,5,5,5,4,4,"$50,000 to $99,999",No Charging,,,,0,40
2104,,,Original,80,Male,11.1,0,5,5,5,5,5,5,"$50,000 to $99,999",No Charging,,,,0,40
2137,300,,Original,45,Male,15.43,2,4,3,4,4,4,4,"$300,000 to $349,999",No Charging,,,,0,40
2229,300,,Original,,,,0,,,,,,,,No Charging,,,,0,1
2230,89,,Original,,,,0,,,,,,,,No Charging,,,,0,1
2269,300,,Discontinued,75,Male,2.89,0,5,5,5,5,5,5,I prefer not to answer,No Charging,,,,0,40
2275,300,,Original,55,Male,5.84,6,5,5,5,5,4,2,"$150,000 to $199,999",No Charging,,,,0,40
2334,300,,Original,65,Male,42.2,5,5,2,5,5,4,2,"$200,000 to $249,999",No Charging,,,,0,40
2367,238,,Original,45,Male,4.65,0,5,5,5,5,5,5,"$300,000 to $349,999",No Charging,,,18,1,40
2424,300,,Original,65,Male,19.66,0,5,1,5,1,2,1,"$250,000 to $299,999",No Charging,,,,0,40
2445,300,,Original,55,Male,6.55,5,5,2,5,4,4,1,"$100,000 to $149,999",No Charging,,,,0,40
2462,300,,Original,55,Male,64.2,0,5,5,5,5,5,1,"$500,000 or more",No Charging,,,,0,40
2464,300,,Original,65,Female,21.36,0,5,2,5,1,5,1,"$100,000 to $149,999",No Charging,,,,0,40
2497,300,,Original,45,Male,4.61,2,5,1,5,4,1,1,"$150,000 to $199,999",No Charging,,,,0,40
2502,300,,Original,65,Male,23.02,0,5,5,5,5,4,2,"$150,000 to $199,999",No Charging,,,,0,40
2578,300,,Original,,,,0,,,,,,,,No Charging,,,,0,1
2623,300,,Discontinued,65,Male,3.31,0,5,5,5,5,3,3,"Less than $50,000",No Charging,,,,0,40
2692,300,,Discontinued,45,Female,2.43,0,5,5,5,5,5,5,"$50,000 to $99,999",No Charging,,,,0,40
2938,300,,Original,65,Male,5.71,0,5,5,5,2,5,2,I prefer not to answer,No Charging,,,,0,40
2968,300,,Continued,75,Male,22.81,0,5,3,5,5,4,2,"$50,000 to $99,999",No Charging,,,,0,40
3008,245,,Original,35,Male,16.36,1,3,5,5,4,5,5,I prefer not to answer,No Charging,,,,0,40
3027,300,,Discontinued,35,Male,1.61,0,5,5,5,5,5,3,"$50,000 to $99,999",No Charging,,,,0,40
3134,300,,Original,75,Male,10.54,2,5,2,5,5,3,3,"$50,000 to $99,999",No Charging,,,,0,40
3167,300,,Original,45,Male,18.38,4,5,5,5,5,5,1,"$50,000 to $99,999",No Charging,,,,0,40
3216,300,,Continued,65,Male,5.55,0,5,5,5,5,4,2,I prefer not to answer,No Charging,,,,0,40
3232,300,,Original,,,,0,,,,,,,,No Charging,,,,0,6
3330,300,,Continued,55,Male,20.17,0,4,4,3,3,2,2,"$250,000 to $299,999",No Charging,,,,0,40
3349,300,,Original,,,,0,,,,,,,,No Charging,,,,0,1
3381,300,,Discontinued,65,Male,8.8,0,5,5,5,4,4,3,"$50,000 to $99,999",No Charging,,,,0,40
3443,300,,Continued,65,Male,38,0,5,3,5,5,1,1,"$150,000 to $199,999",No Charging,,,,0,40
3454,300,,Original,55,Female,1.41,12,5,5,5,5,4,4,"$100,000 to $149,999",No Charging,,,,0,40
3468,300,,Original,,,,0,,,,,,,,No Charging,,,,0,8
3527,300,,Original,75,Male,34.67,4,5,3,5,4,5,4,"$50,000 to $99,999",No Charging,,,,0,40
3530,300,,Original,45,Male,5.41,0,5,2,5,5,4,1,"$50,000 to $99,999",No Charging,,,,0,40
3572,300,,Original,55,Male,30.56,3,2,1,2,5,1,1,"$500,000 or more",No Charging,,,,0,40
3605,300,,Original,,,,0,,,,,,,,No Charging,,,,0,10
3650,300,,Original,45,Male,7.32,0,5,3,5,5,5,5,"$100,000 to $149,999",No Charging,,,,0,40
3663,300,,Original,,,,0,,,,,,,,No Charging,,,,0,1
3755,300,,Continued,55,Female,20.17,0,5,5,5,5,5,4,"$150,000 to $199,999",No Charging,,,,0,40
3830,300,,Original,65,Male,8.23,0,5,2,5,5,4,2,,No Charging,,,,0,38
3846,300,,Original,35,Female,25.05,1,4,2,1,5,1,1,"$50,000 to $99,999",No Charging,,,,0,40
3866,300,,Discontinued,55,Male,7.69,0,5,5,5,5,5,5,"$200,000 to $249,999",No Charging,,,,0,40
3938,300,,Original,,,,0,,,,,,,,No Charging,,,,0,1
3940,300,,Original,55,Male,30.23,1,2,1,2,4,1,1,"$250,000 to $299,999",No Charging,,,,0,40
3961,300,,Original,75,Female,66.82,2,,,,,,,,No Charging,,,,0,19
4015,300,,Original,65,Male,9.11,0,5,2,5,5,2,3,"$100,000 to $149,999",No Charging,,,,0,40
4040,89,,Original,55,Male,11.55,2,5,5,5,4,4,4,"$200,000 to $249,999",No Charging,,,,0,40
4042,300,,Original,55,Female,26.29,0,5,2,5,5,4,1,"$500,000 or more",No Charging,,,,0,40
4081,300,,Original,65,Female,,0,,,,,,,,No Charging,,,,0,16
4177,300,,Original,45,Female,3.51,0,2,4,3,2,2,1,I prefer not to answer,No Charging,,,,0,40
4182,300,,Discontinued,75,Male,15.24,0,5,5,5,5,5,5,"Less than $50,000",No Charging,,,,0,40
4183,300,,Discontinued,65,Male,5.95,0,5,1,5,5,2,2,"$100,000 to $149,999",No Charging,,,,0,40
4185,25,,Original,75,Male,12.82,4,5,5,5,5,2,5,"$150,000 to $199,999",No Charging,,,29,0,40
4226,300,,Original,75,Male,,3,5,5,5,5,5,5,I prefer not to answer,No Charging,,,,0,40
4257,300,,Original,55,Male,3.89,0,5,5,5,4,5,2,"$100,000 to $149,999",No Charging,,,28,1,40
4317,300,,Original,65,Female,35.7,0,5,1,5,4,2,1,"$200,000 to $249,999",No Charging,,,,0,40
4328,300,,Discontinued,65,Male,,0,5,5,5,5,4,2,"$400,000 to $449,999",No Charging,,,,0,40
4354,89,,Original,45,Male,35.41,0,5,5,5,5,5,5,"$200,000 to $249,999",No Charging,,,,0,40
4373,300,,Original,55,Male,22.81,1,4,5,4,4,4,4,"$500,000 or more",No Charging,,,,0,40
4512,300,,Original,45,Male,8.18,0,5,5,5,5,5,4,"$100,000 to $149,999",No Charging,,,,0,40
4537,300,,Original,65,Female,4.28,2,5,3,5,5,1,1,"$50,000 to $99,999",No Charging,,,,0,40
4554,300,,Discontinued,65,Male,,0,5,5,5,5,5,1,"$250,000 to $299,999",No Charging,,,,0,40
4559,300,,Original,55,Female,11.96,0,5,5,5,5,5,2,"$250,000 to $299,999",No Charging,,,,0,40
4562,300,,Continued,45,Male,47.75,0,,,,,,,,No Charging,,,,0,20
4605,300,,Original,75,Male,10.8,3,5,5,5,4,5,4,"$100,000 to $149,999",No Charging,,,,0,40
4623,300,,Original,45,Female,7.95,1,5,1,5,2,2,1,"$100,000 to $149,999",No Charging,,,,0,40
4672,300,,Original,,,,0,,,,,,,,No Charging,,,,0,11
4776,300,,Continued,65,Male,8.25,0,5,5,5,5,5,5,"$150,000 to $199,999",No Charging,,,,0,40
4811,300,,Discontinued,65,Male,24.39,0,,,,,,,,No Charging,,,,0,25
4855,310,,Original,35,Male,14.21,12,5,5,5,5,5,5,"$100,000 to $149,999",No Charging,,,,0,40
4860,300,,Discontinued,80,Male,3.3,0,5,5,5,5,5,1,"$250,000 to $299,999",No Charging,,,,0,40
4865,300,,Original,55,Male,47.24,1,5,5,5,5,5,5,"$100,000 to $149,999",No Charging,,,,0,40
4875,300,,Continued,65,Male,5.38,0,5,4,5,5,4,3,"$50,000 to $99,999",No Charging,,,,0,40
4882,300,,Original,55,Male,13.84,0,5,4,5,5,5,2,"$150,000 to $199,999",No Charging,,,,0,40
4958,300,,Original,45,Female,18.39,0,5,1,5,5,2,1,"$50,000 to $99,999",No Charging,,,,0,40
4974,300,,Original,45,Male,23.24,0,5,3,5,5,2,1,"$100,000 to $149,999",No Charging,,,,0,40
2,310,BEV,Original,35,Male,10.25,7,5,5,5,5,5,5,,Level 2,DC Fast,No charging,,0,37
4,271,BEV,Original,45,Male,8.68,1,5,5,4,5,4,4,I prefer not to answer,Level 2,No charging,No charging,24,0,40
5,84,BEV,Original,65,Male,,0,5,5,5,5,4,5,"$200,000 to $249,999",Level 2,Level 2,No charging,24,1,40
6,310,BEV,Original,35,Male,7.55,2,5,2,5,3,2,2,"$150,000 to $199,999",Level 2,Level 1,DC Fast,,0,40
7,87,BEV,Continued,35,Male,8.54,0,2,3,3,4,1,3,"$50,000 to $99,999",Level 1,No charging,Level 2,82,1,40
9,310,BEV,Original,75,Male,31.04,30,5,5,5,5,5,5,"$50,000 to $99,999",Level 2,No charging,No charging,28,0,40
11,84,BEV,Discontinued,55,Male,,0,3,3,3,3,1,2,I prefer not to answer,Level 1,No charging,No charging,24,1,40
13,84,BEV,Continued,35,Male,16.32,0,5,5,5,5,2,4,"$150,000 to $199,999",Level 1,Level 1,Level 1 & Level 2,,1,40
15,238,BEV,Original,75,Male,0.01,0,5,5,5,5,4,5,"$100,000 to $149,999",Level 2,No charging,No charging,,1,40
17,271,BEV,Original,,,,0,,,,,,,,Level 2,No charging,No charging,,0,1
18,89,BEV,Original,65,Male,16.13,0,5,5,5,5,1,5,"$150,000 to $199,999",Level 2,Level 2,No charging,27,1,40
20,238,BEV,Original,75,Male,,6,5,5,5,5,4,5,"$100,000 to $149,999",Level 2,No charging,DC Fast,16,0,40
21,114,BEV,Original,,,,0,,,,,,,,No Charging,DC Fast,No charging,,0,8
23,84,BEV,Continued,75,Male,19.89,0,4,5,5,5,2,5,"$50,000 to $99,999",Level 2,No charging,No charging,23,1,40
24,310,BEV,Original,45,Male,,0,,,,,,,,Level 2,Level 2,DC Fast,16,0,16
25,271,BEV,Original,45,Male,31.69,1,5,5,5,5,4,5,"$250,000 to $299,999",Level 2,No charging,No charging,18,0,40
29,84,BEV,Original,45,Male,1.27,0,4,4,5,5,2,2,"$150,000 to $199,999",Level 1,No charging,No charging,50,1,40
30,84,BEV,Continued,65,Male,,0,5,5,5,5,4,5,"$150,000 to $199,999",No Charging,,,,0,40
33,271,BEV,Original,65,Male,6.98,3,5,5,5,5,5,5,"$150,000 to $199,999",Level 2,No charging,No charging,30,0,40
37,84,BEV,Original,,,,0,,,,,,,,Level 2,No charging,No charging,112,1,10
39,84,BEV,Original,65,Male,,0,5,5,5,5,1,3,"$100,000 to $149,999",Level 2,,,24,0,40
42,84,BEV,Discontinued,65,Female,11.33,0,5,5,5,5,1,5,"$150,000 to $199,999",Level 2,,,28,1,40
43,84,BEV,Continued,45,Female,12.42,0,4,4,5,4,2,4,"$500,000 or more",Level 2,,,24,1,40
47,249,BEV,Original,55,Female,,0,,,,,,,,Level 2,No charging,Level 2 & DC Fast,29,0,16
48,271,BEV,Continued,45,Female,7.95,0,5,5,5,4,5,5,"$250,000 to $299,999",Level 2,,,18,0,40
50,103,BEV,Original,75,Male,15.72,0,5,5,5,5,3,5,"$300,000 to $349,999",Level 2,Level 1,Level 1 & Level 2,32,0,40
52,84,BEV,Original,65,Female,,0,5,5,5,5,2,5,I prefer not to answer,Level 2,No charging,No charging,25,0,40
54,238,BEV,Original,65,Male,,0,5,5,5,5,5,4,"$450,000 to $499,999",Level 2,Level 2,No charging,46,0,40
55,271,BEV,Continued,75,Male,19.55,0,5,5,5,5,2,4,"$300,000 to $349,999",Level 2,DC Fast,No charging,26,0,40
56,84,BEV,Original,35,Female,8.85,0,4,5,5,5,3,5,"$100,000 to $149,999",No Charging,,,,0,40
57,84,BEV,Continued,45,Male,8.24,0,5,5,5,5,3,5,"$150,000 to $199,999",Level 2,Level 2,No charging,18,1,40
59,114,BEV,Original,,,,0,,,,,,,,Level 2,No charging,No charging,24,1,10
60,238,BEV,Original,75,Male,1.96,0,5,5,5,5,5,5,"$100,000 to $149,999",No Charging,Level 2,No charging,24,0,40
62,271,BEV,Continued,55,Male,57.79,0,5,5,5,5,4,5,"$250,000 to $299,999",Level 2,,DC Fast,27,0,40
63,238,BEV,Original,75,Male,2.77,20,5,5,5,5,5,5,"$200,000 to $249,999",Level 2,No charging,No charging,117,1,40
65,238,BEV,Original,55,Female,1.38,8,5,5,5,5,5,5,"$100,000 to $149,999",Level 2,No charging,No charging,,1,40
67,84,BEV,Continued,55,Male,4.18,0,5,5,5,5,2,5,"$250,000 to $299,999",Level 1,Level 2,No charging,40,1,40
69,257,BEV,Original,55,Male,35.44,2,5,5,5,5,5,5,"$200,000 to $249,999",Level 1,Level 2,DC Fast,89,0,40
73,238,BEV,Original,55,Female,,5,5,5,5,5,5,5,"$150,000 to $199,999",Level 2,No charging,No charging,29,1,40
75,84,BEV,Original,80,Female,2.19,0,5,5,5,5,2,4,"$100,000 to $149,999",Level 2,No charging,Level 2,,1,40
76,271,BEV,Original,65,Female,19.48,2,5,5,5,5,5,5,"$50,000 to $99,999",Level 2,,DC Fast,,0,40
79,270,BEV,Original,55,Male,7.11,6,5,5,5,5,5,5,I prefer not to answer,Level 2,No charging,No charging,116,0,40
83,249,BEV,Original,,,,0,,,,,,,,Level 2,No charging,No charging,23,0,6
84,238,BEV,Original,55,Male,30.11,0,5,5,5,5,5,5,"$100,000 to $149,999",Level 2,No charging,No charging,116,0,40
87,111,BEV,Continued,45,Male,48.33,0,5,5,4,3,2,2,"$200,000 to $249,999",Level 1,Level 2,No charging,114,1,40
88,81,BEV,Discontinued,55,Male,,0,,,,,,,,Level 1,,,38,1,17
89,238,BEV,Original,55,Male,39.87,5,5,5,5,5,5,5,"$150,000 to $199,999",Level 1,Level 1,No charging,27,1,40
92,87,BEV,Discontinued,65,Male,,0,,,,,,,,Level 1,No charging,No charging,17,1,16
93,238,BEV,Original,,Decline to state,23.62,1,5,5,5,5,5,5,I prefer not to answer,Level 1,Level 2,Level 2,28,0,40
95,271,BEV,Discontinued,75,Male,1.75,0,5,5,5,5,5,5,I prefer not to answer,Level 2,Level 2,No charging,24,1,40
97,271,BEV,Original,75,Male,42.24,7,5,5,5,5,5,4,"$400,000 to $449,999",Level 2,No charging,No charging,15,0,40
98,271,BEV,Original,45,Male,32.83,0,5,5,5,5,5,5,I prefer not to answer,Level 2,Level 2,DC Fast,24,0,40
99,84,BEV,Continued,65,Female,5.53,0,5,5,5,5,2,2,"$50,000 to $99,999",Level 2,No charging,No charging,24,1,40
100,84,BEV,Continued,65,Male,,0,,,,,,,,Level 2,,Level 2,24,1,16
104,87,BEV,Continued,55,Male,5.91,0,4,5,5,3,3,5,"$400,000 to $449,999",Level 2,,,28,1,40
105,84,BEV,Original,45,Male,11.17,0,5,5,5,5,4,5,"$200,000 to $249,999",Level 1,Level 1,No charging,14,0,40
107,238,BEV,Original,45,Male,26.57,0,3,5,3,5,5,2,"$150,000 to $199,999",No Charging,Level 2,No charging,17,1,40
108,238,BEV,Original,55,Male,65.22,1,5,5,5,3,4,5,"$100,000 to $149,999",Level 2,No charging,No charging,46,0,40
110,238,BEV,Original,45,Male,25.58,0,5,5,5,5,5,5,"$250,000 to $299,999",No Charging,Level 2,No charging,24,1,40
111,270,BEV,Continued,35,Male,8.65,0,5,5,5,5,5,5,"Less than $50,000",Level 2,No charging,No charging,89,0,40
112,84,BEV,Continued,45,Male,24.86,0,5,5,5,5,3,4,I prefer not to answer,Level 1,Level 2,No charging,23,0,40
113,62,BEV,Discontinued,55,Male,22.08,0,3,5,5,5,1,1,"$100,000 to $149,999",No Charging,,,,0,40
114,270,BEV,Discontinued,45,Male,13.91,0,5,5,5,5,5,5,"$150,000 to $199,999",Level 2,Level 2,No charging,24,1,40
115,84,BEV,Original,45,Male,4.16,0,3,5,5,5,2,4,,Level 2,No charging,No charging,24,0,32
116,238,BEV,Original,65,Male,1.33,0,5,5,5,5,5,4,I prefer not to answer,Level 1,No charging,No charging,31,1,40
124,238,BEV,Original,55,Female,0.84,0,2,5,5,4,3,3,"$250,000 to $299,999",Level 1,No charging,No charging,33,1,40
125,84,BEV,Original,35,Male,9.91,0,5,5,5,5,1,2,"$100,000 to $149,999",No Charging,,,,0,40
127,249,BEV,Original,35,Male,17.41,1,5,4,5,5,2,4,"$500,000 or more",No Charging,Level 2,No charging,36,0,40
128,82,BEV,Continued,35,Male,,0,4,5,5,5,1,4,"$50,000 to $99,999",Level 2,,,32,1,40
130,84,BEV,Continued,18,Male,19.02,0,5,5,5,5,5,5,"$250,000 to $299,999",No Charging,Level 2,No charging,32,1,40
132,238,BEV,Original,55,Male,243.05,0,5,5,5,5,5,5,"$100,000 to $149,999",No Charging,Level 1,No charging,23,0,40
134,238,BEV,Original,45,Male,4.91,0,5,5,5,5,4,4,"$200,000 to $249,999",No Charging,DC Fast,DC Fast,14,0,40
135,84,BEV,Original,45,Male,33.27,0,5,5,5,5,5,5,I prefer not to answer,Level 2,No charging,DC Fast,31,1,40
140,111,BEV,Original,65,Male,7.15,0,5,5,5,5,4,5,"$150,000 to $199,999",Level 2,No charging,No charging,40,1,40
141,270,BEV,Original,45,Male,24.77,1,5,5,5,4,5,5,"$450,000 to $499,999",No Charging,Level 2,DC Fast,95,0,40
143,84,BEV,Continued,45,Male,2.26,0,4,4,5,4,2,3,,Level 2,No charging,No charging,44,1,32
144,84,BEV,Original,55,Male,4.62,1,5,5,5,5,5,5,"$50,000 to $99,999",Level 1,Level 2,DC Fast,,0,40
145,270,BEV,Original,75,Male,492.22,20,5,5,5,5,4,5,I prefer not to answer,Level 2,No charging,DC Fast,24,0,40
146,271,BEV,Original,75,Male,,0,5,5,5,5,4,5,"$100,000 to $149,999",Level 2,No charging,No charging,24,0,40
147,84,BEV,Original,45,Male,25.82,0,4,5,5,4,4,4,"$150,000 to $199,999",Level 2,Level 2,No charging,24,1,40
149,238,BEV,Original,,,,0,,,,,,,,Level 2,Level 2,Level 2,24,1,1
150,84,BEV,Continued,65,Male,,0,5,5,5,5,4,5,"$100,000 to $149,999",Level 2,No charging,No charging,50,1,40
153,238,BEV,Original,55,Male,3.9,5,4,5,5,5,4,4,"$250,000 to $299,999",No Charging,Level 2,No charging,18,1,40
154,310,BEV,Original,45,Male,7.34,5,5,5,5,5,5,5,"$300,000 to $349,999",Level 2,No charging,Level 2,26,0,40
